0⃣   0, keycap, zero
🇵🇳   flag, Pitcairn Islands
🇵🇲   flag, St. Pierre & Miquelon
🇵🇷   flag, Puerto Rico
🇵🇹   flag, Portugal
🇵🇸   flag, Palestinian Territories, Palestine
🇵🇼   flag, Palau
🇵🇾   flag, Paraguay
🇭🇹   flag, Haiti
🇭🇺   flag, Hungary
🇭🇰   flag, Hong Kong SAR China
🇭🇳   flag, Honduras
🇭🇷   flag, Croatia
🇬🇩   flag, Grenada
🇬🇪   flag, Georgia
🇬🇫   flag, French Guiana
🇬🇬   flag, Guernsey
🇬🇭   flag, Ghana
🇬🇮   flag, Gibraltar
🇬🇦   flag, Gabon
🇬🇧   flag, United Kingdom, uk
🇬🇸   flag, South Georgia & South Sandwich Islands
🇬🇹   flag, Guatemala
🇬🇺   flag, Guam
🇬🇼   flag, Guinea-Bissau
🇬🇾   flag, Guyana
🇬🇱   flag, Greenland
🇬🇲   flag, Gambia
🇬🇳   flag, Guinea
🇬🇵   flag, Guadeloupe
🇬🇶   flag, Equatorial Guinea
🇬🇷   flag, Greece
🇵🇱   flag, Poland
🇵🇰   flag, Pakistan
🇪🇪   flag, Estonia
🇪🇨   flag, Ecuador
🇪🇬   flag, Egypt
🇪🇭   flag, Western Sahara
🇪🇺   flag, European Union
🇪🇸   flag, Spain
🇪🇹   flag, Ethiopia
🇪🇷   flag, Eritrea
🚩   flag, construction, post, golf, triangular flag
🇧🇯   flag, Benin
🇧🇮   flag, Burundi
🇧🇭   flag, Bahrain
🇧🇬   flag, Bulgaria
🇧🇫   flag, Burkina Faso
🇧🇪   flag, Belgium
🇧🇩   flag, Bangladesh
🇧🇧   flag, Barbados
🇧🇦   flag, Bosnia & Herzegovina
🇧🇿   flag, Belize
🇧🇾   flag, Belarus
🇧🇼   flag, Botswana
🇧🇹   flag, Bhutan
🇧🇸   flag, Bahamas
🇧🇷   flag, Brazil
🇧🇶   flag, Caribbean Netherlands
🇧🇴   flag, Bolivia
🇧🇳   flag, Brunei
🇧🇲   flag, Bermuda
🇧🇱   flag, St. Barthélemy
🇹🇻   flag, Tuvalu
🇹🇰   flag, Tokelau
🇹🇳   flag, Tunisia
🇹🇲   flag, Turkmenistan
🇶🇦   flag, Qatar
🇹🇭   flag, Thailand
🇹🇬   flag, Togo
🇹🇯   flag, Tajikistan
🇹🇩   flag, Chad
🇹🇨   flag, Turks & Caicos Islands
🇹🇫   flag, French Southern Territories
🇹🇼   flag, Taiwan
🇹🇷   flag, Turkey
🇹🇱   flag, Timor-Leste
🇽🇹   flag, texas
🇽🇸   flag, scotland
🇽🇼   flag, wales
🇽🇰   flag, Kosovo
🇽🇪   flag, england
🇦🇮   flag, Anguilla
🇦🇬   flag, Antigua & Barbuda
🇦🇪   flag, United Arab Emirates
🇦🇫   flag, Afghanistan
🇦🇩   flag, Andorra
🇦🇿   flag, Azerbaijan
🇦🇼   flag, Aruba
🇦🇽   flag, Åland Islands
🇦🇺   flag, Australia
🇦🇸   flag, American Samoa
🇦🇹   flag, Austria
🇦🇶   flag, Antarctica
🇦🇷   flag, Argentina
🇦🇴   flag, Angola
🇦🇲   flag, Armenia
🇼🇸   flag, Samoa
🇼🇫   flag, Wallis & Futuna
🇯🇪   flag, Jersey
🇯🇵   flag, Japan
🇯🇴   flag, Jordan
🇯🇲   flag, Jamaica
🏴󠁧󠁢󠁷󠁬󠁳󠁿   flag, Wales
🇺🇸   flag, United States, usa
🇺🇾   flag, Uruguay
🇺🇿   flag, Uzbekistan
🇺🇬   flag, Uganda
🇺🇦   flag, Ukraine
🇿🇲   flag, Zambia
🇿🇼   flag, Zimbabwe
🇿🇦   flag, South Africa
🏴󠁧󠁢󠁳󠁣󠁴󠁿   flag, Scotland
🇴🇲   flag, Oman
🎯   bull, game, entertainment, bullseye, dart, target, direct hit, hit
🌽   farm, corn, crops, maize, maze, ear of corn
💲   billion, cash, charge, currency, dollar, million, money, pay, heavy dollar sign
💸   billion, cash, dollar, million, money, pay, bank, banknote, bill, note, wings, fly, money with wings
💰   billion, cash, dollar, million, money, bank, bag, bet, win, cost, moneybag, paid, paying, cash out, pot of gold, rich, scrooge, money bag
💷   billion, cash, currency, money, bank, banknote, bill, note, pound, pounds, pound banknote
🏧   cash, money, bank, atm, automated, ATM sign, teller
💳   cash, charge, money, pay, bank, card, charge it, credit, credit card
💵   currency, dollar, money, bank, banknote, bill, note, dollar banknote
💹   currency, money, bank, growth, chart, graph, trend, upward, yen, chart increasing with yen, market, rise
💱   currency, money, bank, exchange, currency exchange
💴   currency, money, bank, banknote, bill, note, yen, yen banknote
💎   money, wedding, diamond, romance, engagement, gem, jewel, gem stone
🤑   money, face, mouth, paid, money-mouth face
🏦   bank, building
🎼   note, score, music, musical score
🎵   note, sound, music, musical note
🎶   note, sound, notes, music, musical notes
🗒   note, spiral, spiral notepad, pad
💩   comic, doo doo, dung, face, bs, fml, monster, poo, poop, turd, smelly, smh, pile of poo, stinks, stinky, stink
💬   comic, balloon, dialog, message, sms, speech, talk, text, typing, speech balloon, bubble
💨   comic, fast, running, cloud, fart, gone, gotta go, dashing away, dash, smoke
💫   comic, star, stars, shooting star, dizzy, shining
💪   comic, bro, body, weightlifter, beast, bench press, biceps, curls, flex, gym, flexing, bodybuilder, gains, jacked, muscle, ripped, strong, weightlift, flexed biceps, arm
💭   comic, balloon, bubble, cloud, dreams, cartoon, daydream, decisions, dream, idea, invent, invention, realize, think, thinking, thought, thoughts, wonder, thought balloon
💡   comic, light, electric, idea, bulb, light bulb
💣   comic, hot, bomb, boom, dangerous, explosion
💢   comic, angry, mad, upset, anger symbol
💥   comic, bomb, boom, collide, collision, explode
💤   comic, sleep, sleeping, sleepy, tired, zz, zzz, zzzz
💦   comic, workout, droplet, sweat, droplets, splashing, work out, sweat droplets
👺   face, monster, fantasy, fairytale, creature, Japanese, mask, goblin, angry, mean
👼   face, baby, fairy tale, fantasy, fairytale, angel, church, baby angel
👽   face, monster, fairy tale, fantasy, fairytale, creature, alien, extraterrestrial, skrillex, space, ufo
👾   face, monster, game, fairy tale, fantasy, fairytale, creature, alien, extraterrestrial, space, ufo, games, gamer, pixellated, space invaders, alien monster
👿   face, evil, fairy tale, fantasy, fairytale, devil, imp, shade, mischievous, angry face with horns, demon
👀   face, body, eye, peep, googley, look, looking, omg, see, seeing, eyes
🌬   face, blow, wind, cloud, wind face
🌞   face, beach, weather, sun, bright, day, heat, shine, sunny, sunshine, sun with face
🌝   face, moon, bright, full moon with face
🌜   face, moon, quarter, dreams, last quarter moon with face
🌛   face, space, moon, quarter, first quarter moon with face
🌚   face, space, moon, new moon face
💀   face, monster, fairy tale, fairytale, body, yolo, dead, death, skull, i'm dead, lmao
💆   face, relax, massage, soothe, person getting massage, woman getting massage, salon, headache, tension, relaxing
🤗   face, hands, hug, hugging face, hugging
🤖   face, monster, robot face, robot
🤕   face, face with head-bandage, bandage, ouch, hurt, injury
🤔   face, thinking, hmm, consider, ponder, pondering, thinking face
🤓   face, nerd face, dweeb, geek, nerd
🤒   face, thermometer, sick, face with thermometer, ill
🤐   face, mouth, keep my mouth shut, secret, not telling, zipper-mouth face, zipper, quiet
🤩   face, star, excited, eyes, star-struck, grinning, starry-eyed, smile, wow
🤧   face, sick, gesundheit, sneeze, flu, fever
🤥   face, lie, pinocchio, liar
🤤   face, drooling
🤣   face, tear, lmao, floor, laugh, laughing, rolling, tears, lol, haha, happy, hehe, hilarious, laughter, lolol, lololol, lmfao, roflmao, rofl, crying laughing, funny, joy, crying
laughing
🤢   face, sick, vomit, nauseated, gross, nasty
🤡   face, clown
🤠   face, hat, cowboy, cowgirl
🙁   face, sad, frown, slightly frowning face
🙂   face, smile, happy, smiling, slightly smiling face
🙃   face, smile, hehe, upside-down face, upside-down
😛   face, party, tongue, awesome, sweet, nice, cool, face with stuck-out tongue
😟   face, sad, nervous, surprised, anxious, butterflies, nerves, stress, stressed, worried, worry, worried face
😞   face, sad, awful, blame, dejected, disappointed, fail, losing, unhappy, disappointed face
😜   face, party, eye, tongue, yolo, crazy, funny, epic, fun, joke, loopy, nutty, wacky, weirdo, wink, face with stuck-out tongue & winking eye
😓   face, cold, sad, sweat, nervous, headache, scared, feels, that was close, yikes, face with cold sweat
😖   face, mad, sad, feels, confounded, confused, distraught, frustrated, cringe, confounded face, annoyed
😕   face, sad, frown, sorry, confused, befuddled, confusing, not sure, i dunno, dunno, hm, confused face, meh
😔   face, sad, bored, awful, dejected, disappointed, losing, died, pensive, sucks, lost, pensive face
😋   face, full, food, eat, hungry, smile, smiling, delicious, savour, savouring, yum, yummy, tasty, face savouring delicious food, um
😊   face, eye, smile, smiling, blush, glad, satisfied, smiling face with smiling eyes
😉   face, flirt, sexy, wink, heartbreaker, slide, tease, winking, winks, winking face
😈   face, fairy tale, fantasy, fairytale, shade, horns, pissed, smile, smiling face with horns
😏   face, homie, kidding, shade, flirt, swagger, wink, slide, boss, dapper, eyebrows, leer, slick, smirk, suspicious, sly, smug, snicker, suave, swag, smirking face
😎   face, bro, beach, eye, awesome, rad, yeah, sun, win, bright, slay, winning, fly, smile, swagger, eyewear, glasses, cool, swag, chillin, maverick, relaxed, shades, stunner, style, sunglasses, smiling face with sunglasses
😃   face, open, mouth, awesome, yay, smile, happy, smiling, grin, teeth, smiling face with open mouth
😂   face, tear, lmao, laugh, laughing, tears, lol, haha, happy, hehe, hilarious, laughter, lolol, lololol, lmfao, roflmao, rofl, crying laughing, funny, joy, feels, crying, face with tears of joy
😁   face, eye, nice, smile, happy, smiling, grin, teeth, grinning face with smiling eyes
😀   face, nice, smile, laugh, happy, smiling, grin, teeth, cheerful, cheery, grinning face
😇   face, fairy tale, fantasy, fairytale, angel, smile, happy, blessed, smiling, angelic, angels, bible, peaceful, halo, innocent, spirit, smiling face with halo
😅   face, excited, open, cold, sweat, nervous, smile, stress, stressed, dejected, smiling face with open mouth & cold sweat
😄   face, open, eye, mouth, smile, laugh, lol, happy, smiling, grin, smiling face with open mouth & smiling eyes
😳   face, hot, heat, exercise, dead, wow, disbelief, what, embarassed, blame, awk, awkward, dazed, flushed, geez, jeez, that's crazy, amazed, impressed, flushed face
😲   face, omg, cost, shocked, no way, wtf, astonished, gtfo, omfg, totally, astonished face
😱   face, shocked, scared, surprised, epic, fear, fearful, scream, screamer, woah, face screaming in fear, munch
😰   face, open, blue, mouth, cold, sweat, nervous, scared, yikes, eek, rushed, face with open mouth & cold sweat
😷   face, mask, cold, doctor, medicine, sick, dentist, dermatologist, dr, germs, face with medical mask
😶   face, mouth, secret, quiet, awkward, expressionless, blank, cant even, silent, mouthless, mute, silence, speechless, face without mouth
😵   face, dizzy, tired, sick, dead, feels, dizzy face
😫   face, cost, tired, sad, sneeze, feels, nap, tired face
😪   face, sleep, sleeping, tired, sad, crying, sleepy face
😩   face, hungry, mad, sleepy, tired, sad, weary, fail, unhappy, feels, crying, nooo, weary face
😨   face, scared, anxious, worried, blame, fear, fearful, afraid, fearful face
😯   face, omg, surprised, epic, woah, hushed, stunned, whoa, hushed face
😭   face, sad, tear, tears, unhappy, crying, cry, bawling, sob, loudly crying face
😬   face, grinning, smile, smiling, awk, awkward, dentist, nothing, grimace, grimacing face
😣   face, headache, concentrate, concentration, focus, persevere, persevering face
😢   face, sad, tear, awful, unhappy, feels, crying, cry, miss, triste, crying face
😡   face, red, angry, shade, mad, upset, pouting, unhappy, feels, anger, maddening, rage, pouting face
😠   face, angry, shade, mad, upset, blame, unhappy, feels, frustrated, anger, maddening, rage, angry face
😥   face, sad, sweat, anxious, disappointed, close call, complicated, not this time, relieved, disappointed but relieved face, whew
😤   face, angry, mad, unhappy, feels, anger, steam, face with steam from nose, fuming, fume
⛑   face, hat, helmet, cross, rescue worker’s helmet, aid
😌   face, peace, relieved, calm, relief, zen, relieved face
😆   face, open, mouth, smile, laugh, lol, haha, happy, rofl, smiling, satisfied, smiling face with open mouth & closed eyes
🦄   face, unicorn face, unicorn
😮   face, open, omg, mouth, shocked, wow, forgot, surprised, woah, whoa, i dont believe you, unreal, unbelievable, face with open mouth, sympathy
☹   face, sad, frown, frowning face
☺   face, outlined, smile, happy, smiling, relaxed, smiling face
💆‍♂   face, relax, massage, soothe, salon, headache, tension, relaxing, man getting massage
🗣   face, silhouette, speak, speaking head, head, speaking
🗿   face, travel, stoneface, moyai, statue, moai
☠   monster, bone, dead, death, skull, skull and crossbones, crossbones
🎈   balloon, birthday, celebrate, celebration
🗯   balloon, bubble, angry, mad, right anger bubble
🗨   dialog, speech, left speech bubble
🌕   full, space, moon, full moon
👯‍♂   bunny ear, dancer, bff, men, twinsies, partying, party
👯   bunny ear, dancer, bff, twinsies, partying, party, women, bunny
👥   bff, bust, silhouette, everyone, friend, friends, people, busts in silhouette
🤼‍♂   men, wrestling, wrestle
🍹   party, bar, drink, alcohol, booze, club, drinking, drinks, cocktail, drunk, mai tai, tropical, tropics, tropical drink
🎉   party, excited, awesome, birthday, celebrate, woohoo, celebration, popper, tada, party popper, hooray
🎊   party, ball, celebrate, woohoo, celebration, confetti, confetti ball
🏃‍♀   fast, hurry, coming, marathon, quick, runner, running, rush, speed, woman running
👟   fast, running, clothes, clothing, shoe, shoes, shopping, kick, athletic, sneaker, tennis, running shoe
🏃   fast, hurry, coming, marathon, quick, runner, running, rush, speed, man running, person running
🎽   running, shirt, sash, running shirt, athletics
🚅   speed, travel, railway, train, amtrak, bullet, shinkansen, high-speed train with bullet nose
🚄   speed, railway, train, amtrak, shinkansen, high-speed train
⁉   exclamation, question, mark, punctuation, exclamation question mark, interrobang
❣   exclamation, mark, punctuation, heavy heart exclamation
❗   exclamation, mark, punctuation, !, exclamation mark
❕   exclamation, mark, punctuation, !, outlined, white exclamation mark
‼   exclamation, mark, punctuation, double exclamation mark, bangbang
❓   question, mark, punctuation, ?, question mark
❔   question, punctuation, ?, question mark, outlined, white question mark
📑   mark, bookmark, bookmark tabs, marker, tabs
™   mark, tm, trademark, trade mark
〽   mark, part alternation mark, part
🔖   mark, bookmark
〰   punctuation, dash, wavy, wavy dash
🀄   game, red, mahjong red dragon, mahjong
🃏   game, joker, card, wildcard
🏸   game, racquet, badminton, birdie, shuttlecock
🏑   game, stick, ball, field hockey, field, hockey
🎮   game, entertainment, controller, xbox, playstation, video game
🎴   game, Japanese, card, flower, flower playing cards, playing
🎰   game, casino, gamble, gambling, slot, slots, slot machine
🎳   game, ball, sport, bowling, strike
🎲   game, entertainment, dice, game die, die
🥌   game, rock, curling stone
🏏   game, ball, bat, cricket
🏒   game, ice, stick, hockey, ice hockey, puck
🏓   game, ball, bat, ping pong, paddle, pingpong, table tennis
🏐   game, ball, volleyball
♦   game, card, diamond, diamond suit
♥   game, heart, card, emotion, hearts, heart suit
♣   game, card, club, clubs, club suit
♠   game, card, spade, spade suit
🕹   game, joystick, videogame
🍎   red, food, fruit, apple, diet, health, ripe, red apple
🌹   red, beauty, plant, flower, elegant, love rose, valentine, rose
🏮   red, Japanese, restaurant, bar, lantern, light, red paper lantern
*⃣   keycap
🖱   computer, computer mouse
🖲   computer, trackball
🖥   computer, desktop computer, monitor, desktop
🖨   computer, printer
⌨   computer, keyboard
💻   computer, office, laptop computer, pc, personal
💽   computer, minidisk, computer disk, disk, optical
💿   computer, disk, optical, blu-ray, cd, dvd, optical disk
💾   computer, disk, floppy, floppy disk
📀   computer, disk, optical, blu-ray, cd, dvd
🖼   art, museum, painting, framed picture, frame, picture
🎭   art, mask, entertainment, actor, actress, performing, shakespeare, theater, theatre, thesbian, performing arts
🎨   art, museum, painting, entertainment, arty, artsy, colorful, creative, painter, palette, artist palette
🖌   painting, paintbrush
🖤   black, evil, wicked, heart
💑   heart, bae, couple, kiss, love, romance, anniversary, couple with heart
💋   heart, dating, kiss, kissing, lips, emotion, romance, sexy, kiss mark
💌   heart, valentine, mail, letter, love, romance, love letter
💏   heart, bae, couple, kiss, date, love, romance, anniversary
❤   heart, emotion, love, red heart
👩‍❤‍👩   heart, bae, couple, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, kiss, bisexual, love, romance, anniversary, couple with heart
Ⓜ   circle, circled M, m
⭕   circle, heavy large circle, o
⏺   circle, record, record button
🛑   stop, sign, octagonal
🚏   stop, bus, busstop, bus stop
🖇   link, paperclip, linked paperclips
🔗   link, links
📎   paperclip
🖍   crayon
🖋   fountain, pen, fountain pen
⛲   fountain
🖊   pen, ballpoint
🔏   pen, ink, lock, nib, locked with pen, privacy
✒   pen, nib, black nib
➖   math, minus, heavy minus sign
📐   math, triangle, angle, ruler, slide rule, triangular ruler, set
📏   math, angle, ruler, straight edge, straight ruler, straightedge
➗   math, division, heavy division sign
➕   math, plus, heavy plus sign
⭐   astronomy, star, stars, white medium star
🌠   star, space, falling, night, shooting, shooting star
🌃   star, night, night with stars
🌟   star, night, glittery, glow, shining, sparkle, win, glowing star
✨   star, magic, sparkle, sparkles
✡   star, religion, david, Jewish, judaism, star of David
✴   star, eight-pointed star
🔯   star, judaism, jewish, fortune, dotted six-pointed star
🅾   o, button, blood type, O button
👰   bride, wedding, bride with veil, veil
💒   wedding, romance, chapel, hitched, nuptuals
💍   wedding, diamond, romance, sparkling, beyonce, engaged, engagement, ring, married, shiny
🎩   hat, clothes, clothing, hats, fancy, magic, abraham, formal, lincoln, top, tophat, top hat
🎓   hat, clothing, education, cap, graduation, graduation cap, scholar
👳   person wearing turban, man wearing turban, turban
👳‍♀   turban, woman wearing turban
🧓   old, gender-neutral, older adult
🗝   old, lock, key, old key, clue
👜   lady, clothes, clothing, dress, shopping, bag, handbag, purse
👶   babies, baby, children, goo goo, infant, newborn, pregnant, young
🍼   babies, baby, infant, newborn, drink, bottle, birth, born, milk, baby bottle
🤱   baby, breast-feeding, breast, nursing, breast feeding
🚼   baby, baby symbol, changing
🌱   young, plant, sapling, seedling, sprout
🧒   young, kid, child, gender-neutral
🏗   construction, building construction, crane
🚧   construction, barrier
💂   helmet, guard, guardsman, buckingham palace, london
👸   crown, fairy tale, fantasy, princess, fairytale, queen
👑   crown, queen, clothing, game of thrones, win, royal, royalty, king, lebron, medieval, royal family
🎅   fairy tale, fantasy, celebration, christmas, santa, Santa Claus, Christmas, claus, father
🔮   fairy tale, fantasy, fairytale, magic, ball, tool, fortune, future, crystal ball, crystal
📚   fantasy, school, book, books, education, knowledge, library, novels, reading, study
📘   fantasy, blue, book, education, library, reading, blue book
📙   fantasy, orange, book, education, library, reading, orange book
📖   fantasy, open, book, education, knowledge, library, novels, reading, open book
📗   fantasy, green, book, education, library, reading, green book
🍡   Japanese, sweet, dessert, dango, skewer, stick
🍙   Japanese, food, rice, ball, rice ball
🏣   Japanese, building, Japanese post office, post
🏯   Japanese, building, castle, Japanese castle
🎍   Japanese, plant, bamboo, pine, pine decoration
🎌   Japanese, crossed, cross, crossed flags
🎎   Japanese, Japanese dolls, doll, festival
🎋   Japanese, tree, celebration, banner, tanabata tree
🉐   Japanese, ideograph, Japanese “bargain” button, “bargain”, 得
🉑   Japanese, ideograph, Japanese “acceptable” button, “acceptable”, 可
🈯   Japanese, ideograph, Japanese “reserved” button, “reserved”, 指
🈺   Japanese, ideograph, Japanese “open for business” button, open for business, 営
🈹   Japanese, ideograph, Japanese “discount” button, “discount”, 割
🈸   Japanese, ideograph, Japanese “application” button, “application”, 申
🈳   Japanese, ideograph, Japanese “vacancy” button, “vacancy”, 空
🈲   Japanese, ideograph, Japanese “prohibited” button, “prohibited”, 禁
🈷   Japanese, ideograph, Japanese “monthly amount” button, monthly amount, 月
🈶   Japanese, ideograph, Japanese “not free of charge” button, not free of charge, 有
🈵   Japanese, ideograph, Japanese “no vacancy” button, no vacancy, 満
🈴   Japanese, ideograph, Japanese “passing grade” button, passing grade, 合
🈂   Japanese, katakana, Japanese “service charge” button, “service charge”, サ
🈁   Japanese, katakana, Japanese “here” button, “here”, ココ
🈚   Japanese, ideograph, Japanese “free of charge” button, “free of charge”, 無
㊙   Japanese, ideograph, Japanese “secret” button, “secret”, 秘
㊗   Japanese, ideograph, Japanese “congratulations” button, “congratulations”, 祝
🔰   Japanese, leaf, green, tool, yellow, Japanese symbol for beginner, beginner, chevron
⛪   church, religion, chapel, cross, Christian, bless
🔔   church, sound, break, bell
🌌   space, milky way
🌗   space, moon, quarter, last quarter moon
🌖   space, moon, gibbous, waning gibbous moon, waning
🌔   space, moon, gibbous, waxing, waxing gibbous moon
🌓   space, moon, quarter, first quarter moon
🌒   space, moon, waxing, crescent, dreams, waxing crescent moon
🌑   space, moon, dark, new moon
🌙   space, moon, crescent, ramadan, crescent moon
🌘   space, moon, waning, crescent, waning crescent moon
☀   space, weather, sun, bright, sunny, rays
☄   space, comet
🛰   space, satellite
🚀   space, rocket, travel, launch, rockets
👕   clothes, clothing, shopping, shirt, blue, casual, collar, dressed, tshirt, weekend, t-shirt
👗   clothes, clothing, dress, shopping, dressed, fancy
👝   clothes, clothing, dress, bag, handbag, purse, clutch bag, pouch
👖   clothes, clothing, shopping, blue, casual, dressed, weekend, denim, jeans, pants, trousers
👛   clothes, clothing, dress, shopping, fancy, handbag, purse, coin
👣   clothing, footprint, omw, print, walk, footprints, barefoot
👔   clothing, employed, necktie, serious, shirt
👙   clothing, bathing suit, beach, bikini, pool, swim
📿   clothing, religion, prayer beads, beads, necklace, prayer
👓   clothing, eye, eyeglasses, eyewear, glasses
👘   clothing, comfortable, kimono
🛍   shopping, bag, hotel, shopping bags
🛒   shopping, cart, trolley
🐾   print, feet, paw, paws, paw prints
🚶‍♀   walk, amble, hike, pedestrian, saunter, stride, stroll, swagger, walking, woman walking
🚶   walk, amble, hike, pedestrian, saunter, stride, stroll, swagger, walking, person walking, man walking
👤   bust, shadow, silhouette, bust in silhouette, mysterious
💈   haircut, barber, barber pole, shave, pole, fresh cut
💇   haircut, beauty, barber, hair, person getting haircut, woman getting haircut, parlor
💇‍♂   haircut, beauty, barber, hair, parlor, man getting haircut
🏢   office, building, city, cubical, job, office building
💼   office, briefcase
🏳‍🌈   gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, pride, rainbow, bisexual, trans, transgender, genderqueer
👨‍❤‍💋‍👨   gay
👨‍❤‍👨   gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, bisexual, anniversary
👩‍❤‍💋‍👩   gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, bisexual, anniversary
🤼‍♀   women, wrestling, wrestle
🚨   police, alarm, light, car, revolving, emergency, alert, siren, police car light, beacon
🚓   police, car, patrol, 5-0, cops, police car
🚔   police, car, oncoming, oncoming police car
📬   open, mail, mailbox, postbox, open mailbox with raised flag
📭   open, mail, mailbox, postbox, lowered, open mailbox with lowered flag
📂   open, file, folder, open file folder
🔓   open, lock, cracked, unlock, unlocked
🧐   fancy, rich, face with monocle, stuffy, wealthy, classy
🌴   beach, tropical, plant, palm, tree, palm tree
🏖   beach, umbrella, beach with umbrella
🏄‍♀   beach, ocean, surfer, surfing, sport, waves, person surfing, woman surfing
🏄   beach, ocean, surfer, surfing, sport, waves, person surfing, man surfing
🏊   swim, sport, swimming, swimmer, person swimming, man swimming
🏊‍♀   swim, sport, swimming, swimmer, woman swimming
🎒   bag, school, education, backpack, backpacking, bookbag, satchel, school backpack
🛴   kick, scooter
🎾   tennis, ball, sport, racquet
👁   body, eye, one eye, 1 eye
👂   body, ear, ears, hear, hearing, listen, listening, sound
👃   body, nose, noses, nosey, odor, smell, smells
👄   body, beauty, kiss, kissing, lips, lipstick, mouth
👅   body, lick, slurp, tongue
👁‍🗨   eye, speech bubble, witness
🤪   eye, eyes, crazy face, large, small, crazy, crazy eyes
🕶   eye, dark, eyewear, glasses, sunglasses
📢   sound, communication, loud, loudspeaker, public address, publicaddress
📣   sound, megaphone, cheering
🔊   sound, loud, high, music, speaker high volume
🔉   sound, speaker medium volume, medium
🎤   sound, music, karaoke, mic, microphone, sing
🎧   sound, earbud, headphone
🔕   sound, forbidden, no, prohibited, not, bell, quiet, silent, mute, bell with slash
🔈   sound, soft, speaker low volume
🔇   sound, quiet, silent, mute, muted speaker, speaker
💄   lipstick, date, cosmetics, makeup
📇   index, card, old school, rolodex, card index
🗂   index, card, card index dividers, dividers
🤚   backhand, raised
🆙   up, button, UP! button
🏳   waving, white flag
🏴   waving, black flag
🍦   sweet, food, restaurant, cream, dessert, ice cream, soft serve, soft ice cream
🍧   sweet, restaurant, dessert, ice, shaved ice, shaved
🍠   sweet, food, potato, roasted, roasted sweet potato
🍭   sweet, food, restaurant, dessert, candy, confectionary, lollipop, willy wonka
🍮   sweet, dessert, custard, pudding
🍨   sweet, food, restaurant, cream, dessert, ice cream, ice
🍩   sweet, food, dessert, donut, doughnut
🍪   sweet, dessert, cookie, chocolate chip
🍰   sweet, cake, pastry, dessert, shortcake, slice
🎂   sweet, cake, pastry, dessert, birthday, celebration, birthday cake
🆗   ok, okay, OK, button, OK button
🧙‍♀️   woman mage, mage, sorceress, witch, spell, magic
🧙‍♂️   mage, spell, magic, man mage, sorcerer, wizard
🗃   card, box, file, card file box
🧞‍♂️   man genie, djinn, jinn, genie
🧞‍♀️   djinn, jinn, genie, woman genie
🍤   fried, prawn, shrimp, tempura, fried shrimp
🦐   shrimp, food, small, shellfish
🍢   food, restaurant, skewer, stick, kebab, oden, seafood
🍣   food, sushi
🍱   food, bento, box, bento box
🍲   food, pot, stew, pot of food, soup
🍅   food, fruit, tomato, vegetable
🍔   food, eat, hungry, burger, fast food, hamburger
🍕   food, hungry, slice, pepperoni, pizza, cheese
🍜   food, soup, bowl, noodle, pho, chopsticks, ramen, steaming, steaming bowl
🍝   food, restaurant, italian, meatballs, pasta, spaghetti
🍞   food, restaurant, bread, carbs, grain, loaf, toast, wheat
🍟   food, fast food, fries, french, french fries
🍘   food, rice, rice cracker, cracker
🍚   food, rice, cooked rice
🍛   food, rice, curry, curry rice
🥜   food, vegetable, nut, peanut
🥝   food, fruit, kiwi
🥞   food, crêpe, hotcake, pancake
🥘   food, pan, casserole, paella, shallow
🥙   food, kebab, falafel, flatbread, gyro, stuffed
🥚   food, egg
🥔   food, potato, vegetable
🥕   food, vegetable, carrot
🥖   food, bread, french, baguette
🥗   food, green, salad
🥐   food, bread, french, crescent roll, croissant
🥑   food, fruit, avocado
🥒   food, vegetable, cucumber, pickle
🥓   food, meat, bacon
🥧   pastry, fruit, meat, pie, filling, apple pie, pumpkin pie, slice of pie
🍶   restaurant, bar, drink, cup, bottle, sake
🍷   restaurant, bar, drink, beverage, alcohol, booze, club, drinking, drinks, glass, wine, wine glass
🍳   restaurant, breakfast, cooking, egg, fry, frying, over easy, pan, sunny side up
⛸   ice, ice skate, skate, skating, ice skating
🍾   bar, drink, bottle, bottle with popping cork, cork, popping
🍸   bar, drink, alcohol, booze, club, drinking, drinks, glass, cocktail, mad men, martini, cocktail glass
🍺   bar, alcohol, booze, drinking, drinks, beer, germany, octoberfest, oktoberfest, pint, stein, summer ale, beer mug
🍻   bar, alcohol, booze, drinking, drinks, beer, bottoms up, cheers, clink, clinking beer mugs
📶   bar, antenna, bars, cell, communication, mobile, phone, signal, telephone, antenna bars
📊   bar, chart, data, graph, bar chart
🥣   breakfast, bowl with spoon, cereal, congee, oatmeal, porridge
🔪   cooking, knife, tool, weapon, chef, kitchen knife, hocho
🥄   eat, spoon, tableware
🍗   hungry, bone, chicken, poultry, drumstick, turkey, poultry leg, leg
🗡   knife, weapon, dagger
🍵   drink, oolong, tea, teacup, beverage, teacup without handle, cup
🥛   drink, glass, milk
🥂   drink, glass, clink, celebrate
☕   drink, tea, beverage, steaming, hot, morning, caffeine, coffee, starbucks, hot beverage, cafe, hot
beverage
🚰   drinking, water, potable water, potable
🔎   glass, tool, contact, science, lab, magnifying, search, right-pointing magnifying glass
